B-QTY,OTHER,B-NAME,OTHER,B-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4-Jan,cup,dry,white,wine,,,,,,,,,,,,,,,,
B-QTY,B-UNIT,B-NAME,I-NAME,I-NAME,,,,,,,,,,,,,,,,
B-QTY,B-UNIT,B-COMMENT,B-NAME,I-NAME,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1,large,navel,orange,,,,,,,,,,,,,,,,,
B-QTY,B-COMMENT,B-NAME,B-NAME,,,,,,,,,,,,,,,,,
B-QTY,OTHER,OTHER,B-NAME,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2$3/4,teaspoons,kosher,salt,",",plus,more,for,seasoning,,,,,,,,,,,,
B-QTY,B-UNIT,B-NAME,B-NAME,B-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,,,,,,,,,,,,
B-QTY,B-UNIT,B-NAME,I-NAME,OTHER,B-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1,tablespoon,fresh,lime,juice,,,,,,,,,,,,,,,,
B-QTY,B-UNIT,B-COMMENT,B-NAME,I-NAME,,,,,,,,,,,,,,,,
B-QTY,B-UNIT,B-NAME,I-NAME,I-NAME,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
12,6-inch,fresh,corn,tortillas,,,,,,,,,,,,,,,,
B-QTY,B-COMMENT,I-COMMENT,B-NAME,I-NAME,,,,,,,,,,,,,,,,
B-QTY,OTHER,B-COMMENT,B-NAME,I-NAME,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1$1/2,tablespoons,grainy,mustard,,,,,,,,,,,,,,,,,
B-QTY,B-UNIT,B-COMMENT,B-NAME,,,,,,,,,,,,,,,,,
B-QTY,OTHER,B-NAME,I-NAME,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
12,langoustines,or,jumbo,shrimp,",",about,1,pound,,,,,,,,,,,,
B-QTY,B-NAME,B-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,,,,,,,,,,,,
B-QTY,B-NAME,B-COMMENT,I-COMMENT,I-COMMENT,B-NAME,I-NAME,I-NAME,I-NAME,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1,12-ounce,bag,cranberries,,,,,,,,,,,,,,,,,
B-COMMENT,I-COMMENT,I-COMMENT,B-NAME,,,,,,,,,,,,,,,,,
B-QTY,B-COMMENT,B-UNIT,B-NAME,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Freshly,ground,pepper,,,,,,,,,,,,,,,,,,
B-COMMENT,I-COMMENT,B-NAME,,,,,,,,,,,,,,,,,,
B-NAME,I-NAME,I-NAME,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1,packet,active,dry,yeast,,,,,,,,,,,,,,,,
B-QTY,B-UNIT,B-NAME,I-NAME,I-NAME,,,,,,,,,,,,,,,,
B-QTY,B-UNIT,B-COMMENT,I-COMMENT,B-NAME,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3,tablespoons,grapeseed,or,other,neutral,oil,,,,,,,,,,,,,,
B-QTY,B-UNIT,B-NAME,B-COMMENT,I-COMMENT,I-COMMENT,I-NAME,,,,,,,,,,,,,,
B-QTY,B-UNIT,B-NAME,B-COMMENT,I-COMMENT,I-COMMENT,B-NAME,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2,tablespoons,white-wine,vinegar,or,cider,vinegar,,,,,,,,,,,,,,
B-QTY,B-UNIT,B-NAME,I-NAME,I-COMMENT,I-COMMENT,B-NAME,,,,,,,,,,,,,,
B-QTY,B-UNIT,B-NAME,I-NAME,I-NAME,I-NAME,I-NAME,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2,tablespoons,warm,water,,,,,,,,,,,,,,,,,
B-QTY,B-UNIT,B-COMMENT,B-NAME,,,,,,,,,,,,,,,,,
B-QTY,B-UNIT,OTHER,B-NAME,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2,tablespoons,extra,virgin,olive,oil,,,,,,,,,,,,,,,
B-QTY,B-UNIT,B-NAME,I-NAME,I-NAME,I-NAME,,,,,,,,,,,,,,,
B-QTY,B-UNIT,B-COMMENT,I-COMMENT,B-NAME,I-NAME,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Salt,to,taste,,,,,,,,,,,,,,,,,,
B-NAME,B-COMMENT,I-COMMENT,,,,,,,,,,,,,,,,,,
B-NAME,I-NAME,I-NAME,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2-Jan,cup,corn,or,hominy,grits,,,,,,,,,,,,,,,
B-QTY,B-UNIT,B-COMMENT,I-COMMENT,I-COMMENT,B-NAME,,,,,,,,,,,,,,,
B-QTY,B-UNIT,B-NAME,OTHER,OTHER,B-NAME,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1,cardamom,pod,,,,,,,,,,,,,,,,,,
B-QTY,B-NAME,I-NAME,,,,,,,,,,,,,,,,,,
B-QTY,B-NAME,OTHER,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4,tablespoons,extra,virgin,olive,oil,,,,,,,,,,,,,,,
B-QTY,B-UNIT,B-NAME,I-NAME,I-NAME,I-NAME,,,,,,,,,,,,,,,
B-QTY,OTHER,B-NAME,I-NAME,I-NAME,I-NAME,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1,cup,plus,2,tablespoons,all-purpose,flour,,,,,,,,,,,,,,
OTHER,OTHER,OTHER,OTHER,B-UNIT,B-NAME,I-NAME,,,,,,,,,,,,,,
B-QTY,B-UNIT,B-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,B-NAME,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1,celery,stalk,",",diced,",",plus,celery,leaves,for,serving,,,,,,,,,,
B-QTY,B-NAME,B-UNIT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,B-NAME,OTHER,I-COMMENT,I-COMMENT,,,,,,,,,,
B-QTY,B-NAME,B-UNIT,B-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,B-NAME,I-COMMENT,I-COMMENT,I-COMMENT,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2,cups,freshly,squeezed,orange,juice,",",with,3,tablespoons,sugar,dissolved,in,UNK,,,,,,,
B-QTY,OTHER,I-COMMENT,I-COMMENT,B-NAME,I-NAME,B-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,B-NAME,I-COMMENT,I-COMMENT,I-COMMENT,,,,,,,
B-QTY,B-UNIT,OTHER,OTHER,B-NAME,I-NAME,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3-Jan,cup,plain,Greek,yogurt,,,,,,,,,,,,,,,,
OTHER,B-UNIT,B-NAME,B-NAME,I-NAME,,,,,,,,,,,,,,,,
OTHER,B-UNIT,B-NAME,I-NAME,I-NAME,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4-Jan,pound,UNK,or,other,smoky,slab,bacon,",",diced,,,,,,,,,,,
B-QTY,B-UNIT,B-NAME,B-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,B-NAME,B-COMMENT,I-COMMENT,,,,,,,,,,,
B-QTY,B-UNIT,B-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,B-NAME,B-COMMENT,I-COMMENT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2,pounds,neck,of,veal,,,,,,,,,,,,,,,,
B-QTY,B-UNIT,B-COMMENT,I-COMMENT,B-NAME,,,,,,,,,,,,,,,,
B-QTY,B-UNIT,B-NAME,I-NAME,I-NAME,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
6,ounces,Japanese,soba,noodles,",",cooked,and,tossed,with,1,tablespoon,sesame,oil,,,,,,,
B-QTY,B-UNIT,B-NAME,I-NAME,I-NAME,OTHER,B-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,,,,,,,
B-QTY,OTHER,B-NAME,I-NAME,I-NAME,OTHER,B-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1,whole,chicken,3$1/2,pounds,",",rinsed,and,patted,dry,,,,,,,,,,,
B-QTY,B-COMMENT,B-NAME,B-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,,,,,,,,,,,
B-QTY,B-NAME,I-NAME,B-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Pan,drippings,to,taste,,,,,,,,,,,,,,,,,
B-NAME,I-NAME,OTHER,I-COMMENT,,,,,,,,,,,,,,,,,
B-NAME,I-NAME,OTHER,OTHER,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1$1/2,cups,granulated,sugar,,,,,,,,,,,,,,,,,
B-QTY,B-UNIT,B-COMMENT,B-NAME,,,,,,,,,,,,,,,,,
B-QTY,OTHER,B-NAME,I-NAME,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Salt,and,freshly,ground,pepper,,,,,,,,,,,,,,,,
B-NAME,I-NAME,I-NAME,I-NAME,B-NAME,,,,,,,,,,,,,,,,
B-NAME,I-NAME,B-COMMENT,I-COMMENT,B-NAME,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1,teaspoon,crumbled,sage,leaves,,,,,,,,,,,,,,,,
B-QTY,B-UNIT,B-COMMENT,B-NAME,I-NAME,,,,,,,,,,,,,,,,
B-QTY,B-UNIT,B-NAME,I-NAME,I-NAME,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Freshly,grated,Parmigiano-Reggiano,or,pepper,Jack,cheese,,,,,,,,,,,,,,
B-COMMENT,I-COMMENT,B-NAME,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,,,,,,,,,,,,,,
B-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,B-NAME,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4-Mar,to,1,cup,sugar,",",or,to,taste,,,,,,,,,,,,
B-QTY,B-COMMENT,OTHER,B-UNIT,B-NAME,OTHER,B-COMMENT,I-COMMENT,I-COMMENT,,,,,,,,,,,,
B-QTY,B-NAME,B-RANGE_END,B-UNIT,B-NAME,I-NAME,I-NAME,I-NAME,I-NAME,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1,6-ounce,can,ripe,olives,",",medium-sized,",",drained,,,,,,,,,,,,
B-COMMENT,OTHER,OTHER,I-COMMENT,B-NAME,OTHER,I-COMMENT,OTHER,I-COMMENT,,,,,,,,,,,,
B-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,B-NAME,OTHER,I-COMMENT,OTHER,I-COMMENT,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2,tablespoons,unsweetened,cocoa,,,,,,,,,,,,,,,,,
B-QTY,B-UNIT,B-COMMENT,B-NAME,,,,,,,,,,,,,,,,,
B-QTY,B-UNIT,B-NAME,I-NAME,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1,cup,orange,peel,(,from,6,oranges,",",approximately,),,,,,,,,,,
B-QTY,B-UNIT,B-NAME,I-NAME,OTHER,B-COMMENT,I-COMMENT,I-COMMENT,OTHER,I-COMMENT,OTHER,,,,,,,,,,
B-QTY,B-UNIT,B-NAME,I-NAME,OTHER,B-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,OTHER,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3,medium,apples,",",unpeeled,and,grated,(,about,1$1/2,pounds,),,,,,,,,,
B-QTY,B-COMMENT,B-NAME,B-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,,,,,,,,,
B-QTY,B-COMMENT,B-NAME,B-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,OTHER,B-COMMENT,I-COMMENT,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1,cup,cooked,brown,rice,",",arborio,rice,or,Calrose,rice,,,,,,,,,,
B-QTY,B-UNIT,B-NAME,I-NAME,I-NAME,I-NAME,I-NAME,I-NAME,I-NAME,OTHER,B-NAME,,,,,,,,,,
B-QTY,OTHER,OTHER,B-NAME,I-NAME,OTHER,OTHER,B-NAME,OTHER,OTHER,B-NAME,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4,fresh,ears,of,corn,,,,,,,,,,,,,,,,
B-QTY,B-COMMENT,B-UNIT,OTHER,B-NAME,,,,,,,,,,,,,,,,
B-QTY,B-COMMENT,B-UNIT,B-COMMENT,B-NAME,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1,tablespoon,Champagne,vinegar,or,sherry,vinegar,(,more,to,taste,),,,,,,,,,
B-QTY,B-UNIT,B-NAME,I-NAME,I-NAME,I-NAME,I-NAME,OTHER,OTHER,OTHER,I-NAME,OTHER,,,,,,,,,
B-QTY,B-UNIT,B-NAME,I-NAME,I-NAME,I-NAME,I-NAME,OTHER,B-COMMENT,I-COMMENT,I-COMMENT,OTHER,,,,,,,,,
